judge,pH,R,G,B
error,4.0,117,119,80
error,4.0,108,116,77
error,4.0,110,110,74
error,4.0,110,119,90
error,4.0,114,118,85
error,4.0,107,109,70
error,4.0,117,118,76
error,4.0,114,120,84
error,4.0,113,119,75
error,4.0,108,114,76
error,4.0,110,115,75
error,4.0,111,116,76
error,4.0,111,117,83
error,4.0,110,117,84
error,4.0,112,116,79
error,4.0,108,118,83
error,4.0,108,115,82
error,4.0,112,116,83
error,4.1,104,109,69
error,4.1,107,118,88
error,4.1,98,102,65
error,4.1,110,114,81
error,4.1,108,115,82
error,4.1,102,107,67
error,4.1,105,109,72
error,4.1,106,112,78
error,4.1,106,110,73
error,4.1,105,116,84
error,4.1,113,119,83
error,4.1,112,118,82
error,4.1,108,104,57
error,4.1,106,105,61
error,4.1,110,115,74
error,4.1,112,113,71
error,4.1,112,119,78
error,4.1,110,116,80
error,4.1,113,118,78
error,4.1,116,123,82
error,4.2,100,108,85
error,4.2,106,113,80
error,4.2,102,111,84
error,4.2,99,107,86
error,4.2,101,110,79
error,4.2,104,113,84
error,4.2,104,111,77
error,4.2,102,103,69
error,4.2,102,115,85
error,4.2,103,114,84
error,4.2,107,113,85
error,4.2,106,113,82
error,4.2,107,116,89
error,4.2,102,109,78
error,4.2,98,104,76
error,4.2,105,116,86
error,4.2,102,107,75
error,4.2,102,113,83
error,4.3,97,106,75
error,4.3,100,107,73
error,4.3,95,105,70
error,4.3,103,106,75
error,4.3,101,108,75
error,4.3,102,111,80
error,4.3,108,118,91
error,4.3,104,114,89
error,4.3,98,98,70
error,4.3,100,107,76
error,4.3,103,113,79
error,4.3,111,120,91
error,4.3,111,119,95
error,4.3,106,110,73
error,4.3,103,107,70
error,4.3,102,109,78
error,4.3,104,108,71
error,4.3,104,112,75
error,4.3,103,112,83
error,4.3,103,107,74
error,4.4,102,111,90
error,4.4,92,104,80
error,4.4,95,105,80
error,4.4,98,107,80
error,4.4,101,113,91
error,4.4,107,116,89
error,4.4,103,116,90
error,4.4,96,109,83
error,4.4,94,105,75
error,4.4,99,109,85
error,4.4,90,98,74
